PING 10.0.2.2 (10.0.2.2) 56(84) bytes of data.
64 bytes from 10.0.2.2: icmp_seq=1 ttl=63 time=6.12 ms
64 bytes from 10.0.2.2: icmp_seq=2 ttl=63 time=5.02 ms
64 bytes from 10.0.2.2: icmp_seq=3 ttl=63 time=5.07 ms
64 bytes from 10.0.2.2: icmp_seq=4 ttl=63 time=5.06 ms
64 bytes from 10.0.2.2: icmp_seq=5 ttl=63 time=5.07 ms
64 bytes from 10.0.2.2: icmp_seq=6 ttl=63 time=5.53 ms
64 bytes from 10.0.2.2: icmp_seq=7 ttl=63 time=5.14 ms
64 bytes from 10.0.2.2: icmp_seq=8 ttl=63 time=5.12 ms
64 bytes from 10.0.2.2: icmp_seq=9 ttl=63 time=5.04 ms
64 bytes from 10.0.2.2: icmp_seq=10 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=11 ttl=63 time=5.41 ms
64 bytes from 10.0.2.2: icmp_seq=12 ttl=63 time=4.89 ms
64 bytes from 10.0.2.2: icmp_seq=13 ttl=63 time=5.06 ms
64 bytes from 10.0.2.2: icmp_seq=14 ttl=63 time=5.16 ms
64 bytes from 10.0.2.2: icmp_seq=15 ttl=63 time=5.13 ms
64 bytes from 10.0.2.2: icmp_seq=16 ttl=63 time=5.64 ms
64 bytes from 10.0.2.2: icmp_seq=17 ttl=63 time=4.89 ms
64 bytes from 10.0.2.2: icmp_seq=18 ttl=63 time=5.21 ms
64 bytes from 10.0.2.2: icmp_seq=19 ttl=63 time=5.18 ms
64 bytes from 10.0.2.2: icmp_seq=20 ttl=63 time=5.11 ms
64 bytes from 10.0.2.2: icmp_seq=21 ttl=63 time=5.67 ms
64 bytes from 10.0.2.2: icmp_seq=22 ttl=63 time=5.09 ms
64 bytes from 10.0.2.2: icmp_seq=23 ttl=63 time=5.11 ms
64 bytes from 10.0.2.2: icmp_seq=24 ttl=63 time=5.09 ms
64 bytes from 10.0.2.2: icmp_seq=25 ttl=63 time=5.06 ms
64 bytes from 10.0.2.2: icmp_seq=26 ttl=63 time=5.32 ms
64 bytes from 10.0.2.2: icmp_seq=27 ttl=63 time=4.96 ms
64 bytes from 10.0.2.2: icmp_seq=28 ttl=63 time=5.10 ms
64 bytes from 10.0.2.2: icmp_seq=29 ttl=63 time=4.92 ms
64 bytes from 10.0.2.2: icmp_seq=30 ttl=63 time=5.09 ms
64 bytes from 10.0.2.2: icmp_seq=31 ttl=63 time=5.48 ms
64 bytes from 10.0.2.2: icmp_seq=32 ttl=63 time=4.99 ms
64 bytes from 10.0.2.2: icmp_seq=33 ttl=63 time=5.05 ms
64 bytes from 10.0.2.2: icmp_seq=34 ttl=63 time=5.12 ms
64 bytes from 10.0.2.2: icmp_seq=35 ttl=63 time=5.06 ms
64 bytes from 10.0.2.2: icmp_seq=36 ttl=63 time=5.58 ms
64 bytes from 10.0.2.2: icmp_seq=37 ttl=63 time=4.98 ms
64 bytes from 10.0.2.2: icmp_seq=38 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=39 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=40 ttl=63 time=5.04 ms
64 bytes from 10.0.2.2: icmp_seq=41 ttl=63 time=5.38 ms
64 bytes from 10.0.2.2: icmp_seq=42 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=43 ttl=63 time=4.96 ms
64 bytes from 10.0.2.2: icmp_seq=44 ttl=63 time=4.88 ms
64 bytes from 10.0.2.2: icmp_seq=45 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=46 ttl=63 time=5.45 ms
64 bytes from 10.0.2.2: icmp_seq=47 ttl=63 time=5.07 ms
64 bytes from 10.0.2.2: icmp_seq=48 ttl=63 time=5.14 ms
64 bytes from 10.0.2.2: icmp_seq=49 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=50 ttl=63 time=5.32 ms
64 bytes from 10.0.2.2: icmp_seq=51 ttl=63 time=5.47 ms
64 bytes from 10.0.2.2: icmp_seq=52 ttl=63 time=5.18 ms
64 bytes from 10.0.2.2: icmp_seq=53 ttl=63 time=5.10 ms
64 bytes from 10.0.2.2: icmp_seq=54 ttl=63 time=5.05 ms
64 bytes from 10.0.2.2: icmp_seq=55 ttl=63 time=5.10 ms
64 bytes from 10.0.2.2: icmp_seq=56 ttl=63 time=5.44 ms
64 bytes from 10.0.2.2: icmp_seq=57 ttl=63 time=5.09 ms
64 bytes from 10.0.2.2: icmp_seq=58 ttl=63 time=5.09 ms
64 bytes from 10.0.2.2: icmp_seq=59 ttl=63 time=4.98 ms
64 bytes from 10.0.2.2: icmp_seq=60 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=61 ttl=63 time=5.46 ms
64 bytes from 10.0.2.2: icmp_seq=62 ttl=63 time=4.97 ms
64 bytes from 10.0.2.2: icmp_seq=63 ttl=63 time=4.99 ms
64 bytes from 10.0.2.2: icmp_seq=64 ttl=63 time=5.04 ms
64 bytes from 10.0.2.2: icmp_seq=65 ttl=63 time=5.07 ms
64 bytes from 10.0.2.2: icmp_seq=66 ttl=63 time=5.61 ms
64 bytes from 10.0.2.2: icmp_seq=67 ttl=63 time=5.16 ms
64 bytes from 10.0.2.2: icmp_seq=68 ttl=63 time=4.98 ms
64 bytes from 10.0.2.2: icmp_seq=69 ttl=63 time=5.07 ms
64 bytes from 10.0.2.2: icmp_seq=70 ttl=63 time=5.26 ms
64 bytes from 10.0.2.2: icmp_seq=71 ttl=63 time=5.47 ms
64 bytes from 10.0.2.2: icmp_seq=72 ttl=63 time=5.04 ms
64 bytes from 10.0.2.2: icmp_seq=73 ttl=63 time=5.03 ms
64 bytes from 10.0.2.2: icmp_seq=74 ttl=63 time=4.98 ms
64 bytes from 10.0.2.2: icmp_seq=75 ttl=63 time=5.03 ms
64 bytes from 10.0.2.2: icmp_seq=76 ttl=63 time=5.55 ms
64 bytes from 10.0.2.2: icmp_seq=77 ttl=63 time=5.09 ms
64 bytes from 10.0.2.2: icmp_seq=78 ttl=63 time=5.04 ms
64 bytes from 10.0.2.2: icmp_seq=79 ttl=63 time=5.05 ms
64 bytes from 10.0.2.2: icmp_seq=80 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=81 ttl=63 time=5.41 ms
64 bytes from 10.0.2.2: icmp_seq=82 ttl=63 time=5.13 ms
64 bytes from 10.0.2.2: icmp_seq=83 ttl=63 time=5.03 ms
64 bytes from 10.0.2.2: icmp_seq=84 ttl=63 time=5.00 ms
64 bytes from 10.0.2.2: icmp_seq=85 ttl=63 time=4.96 ms
64 bytes from 10.0.2.2: icmp_seq=86 ttl=63 time=5.42 ms
64 bytes from 10.0.2.2: icmp_seq=87 ttl=63 time=5.11 ms
64 bytes from 10.0.2.2: icmp_seq=88 ttl=63 time=5.00 ms
64 bytes from 10.0.2.2: icmp_seq=89 ttl=63 time=5.06 ms
64 bytes from 10.0.2.2: icmp_seq=90 ttl=63 time=5.00 ms
64 bytes from 10.0.2.2: icmp_seq=91 ttl=63 time=5.28 ms
64 bytes from 10.0.2.2: icmp_seq=92 ttl=63 time=4.98 ms
64 bytes from 10.0.2.2: icmp_seq=93 ttl=63 time=4.99 ms
64 bytes from 10.0.2.2: icmp_seq=94 ttl=63 time=4.98 ms
64 bytes from 10.0.2.2: icmp_seq=95 ttl=63 time=5.06 ms
64 bytes from 10.0.2.2: icmp_seq=96 ttl=63 time=5.39 ms
64 bytes from 10.0.2.2: icmp_seq=97 ttl=63 time=5.07 ms
64 bytes from 10.0.2.2: icmp_seq=98 ttl=63 time=5.08 ms
64 bytes from 10.0.2.2: icmp_seq=99 ttl=63 time=4.90 ms
64 bytes from 10.0.2.2: icmp_seq=100 ttl=63 time=5.03 ms

--- 10.0.2.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99122ms
rtt min/avg/max/mdev = 4.882/5.151/6.124/0.209 ms
